description,categorie,priorite,sentiment,reponse_template
Le livreur n'a pas respecté le créneau horaire,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Je n'ai pas reçu ma commande FACT-177293 passée le 14/11/2026,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande CRED-438647 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Livraison en retard de 10 jours pour la commande FACT-279396,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Colis CMD-658491 endommagé à la réception,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur a perdu mon colis VIRE-807230,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Retard de livraison non justifié pour FACT-369317,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Impossible de reprogrammer la livraison de VIRE-948745,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Colis VIRE-900887 marqué livré mais jamais reçu,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour VIRE-388164,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Impossible de reprogrammer la livraison de COMP-890823,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour CRED-033098,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le point relais a renvoyé mon colis FACT-360391,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Frais de livraison facturés mais service non rendu,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis CMD-102611 n'est jamais arrivé après 6 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Problème de suivi pour la commande VIRE-020550,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour VIRE-495159,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Colis CRED-188497 marqué livré mais jamais reçu,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Mon colis COMP-045615 n'est jamais arrivé après 6 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande FACT-748812 livrée chez le mauvais voisin,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Commande FACT-196353 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Retard de livraison non justifié pour VIRE-796360,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande COMP-955779 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande FACT-060269 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande FACT-927216 retournée à l'expéditeur sans raison,livraison,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Commande COMP-140906 livrée chez le mauvais voisin,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis FACT-713622 est bloqué en douane,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Le transporteur a perdu mon colis CRED-375381,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande CRED-961138 livrée au mauvais endroit,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le point relais a renvoyé mon colis FACT-374611,livraison,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Le point relais a renvoyé mon colis FACT-241274,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour CRED-905019,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Colis FACT-179293 marqué livré mais jamais reçu,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Mon colis CRED-420716 est bloqué en douane,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Mon colis VIRE-917410 n'est jamais arrivé après 14 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Colis COMP-989761 endommagé à la réception,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Retard de livraison non justifié pour FACT-655464,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande FACT-438411 livrée chez le mauvais voisin,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis CMD-172659 est bloqué en douane,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis VIRE-785879 n'est jamais arrivé après 13 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis COMP-610158 n'est jamais arrivé après 12 jours,livraison,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Je n'ai pas reçu ma commande COMP-626763 passée le 14/8/2026,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande FACT-329991 retournée à l'expéditeur sans raison,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Retard de livraison non justifié pour CRED-388357,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai pas reçu ma commande CRED-681923 passée le 21/10/2026,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le point relais a renvoyé mon colis VIRE-277815,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis CMD-155464 est bloqué en douane,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis CRED-920848 n'est jamais arrivé après 5 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Impossible de reprogrammer la livraison de FACT-297203,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis VIRE-126941 n'est jamais arrivé après 10 jours,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande VIRE-624875 livrée chez le mauvais voisin,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande COMP-869721 livrée chez le mauvais voisin,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Retard de livraison non justifié pour FACT-797100,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Le transporteur a perdu mon colis CMD-631669,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour FACT-195375,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le colis COMP-899981 contient des articles manquants,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Retard de livraison non justifié pour CMD-596425,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Colis FACT-543210 endommagé à la réception,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le livreur n'a pas respecté le créneau horaire,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Colis FACT-933595 endommagé à la réception,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Le transporteur a perdu mon colis COMP-780895,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour CMD-271271,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Retard de livraison non justifié pour VIRE-925960,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Impossible de reprogrammer la livraison de CRED-838450,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur a perdu mon colis CMD-114190,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis CRED-028879 est bloqué en douane,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le point relais a renvoyé mon colis COMP-536106,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Retard de livraison non justifié pour FACT-626274,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Livraison en retard de 14 jours pour la commande FACT-746412,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Commande FACT-878172 livrée chez le mauvais voisin,livraison,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Frais de livraison facturés mais service non rendu,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Livraison en retard de 28 jours pour la commande FACT-460364,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Absence de signature à la livraison pour CRED-652036,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Le colis VIRE-465508 contient des articles manquants,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur a perdu mon colis COMP-516375,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Retard de livraison non justifié pour CMD-522475,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis FACT-690076 est bloqué en douane,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le colis CRED-148080 contient des articles manquants,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le point relais a renvoyé mon colis COMP-203592,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Colis VIRE-155524 marqué livré mais jamais reçu,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Retard de livraison non justifié pour CRED-508331,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Colis CRED-208190 endommagé à la réception,livraison,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Le point relais a renvoyé mon colis CRED-824076,livraison,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Commande CRED-599804 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le colis COMP-578926 contient des articles manquants,livraison,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Retard de livraison non justifié pour VIRE-097023,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Je n'ai jamais reçu mon remboursement après retour,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Colis CRED-210376 marqué livré mais jamais reçu,livraison,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Impossible de reprogrammer la livraison de CRED-449330,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Mon colis CMD-812823 est bloqué en douane,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Impossible de reprogrammer la livraison de CRED-895237,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Frais de livraison facturés mais service non rendu,livraison,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Frais de livraison facturés mais service non rendu,livraison,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Le transporteur a perdu mon colis COMP-983093,livraison,moyenne,negatif,"Bonjour, je comprends votre mécontentement. Je vais vérifier l'état de votre livraison et reviens vers vous rapidement. Cordialement"
Commande FACT-999794 livrée chez le mauvais voisin,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le transporteur n'a pas laissé d'avis de passage,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Le point relais a renvoyé mon colis CRED-683015,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
Commande FACT-516205 retournée à l'expéditeur sans raison,livraison,haute,negatif,"Bonjour, je comprends votre frustration concernant votre livraison. Notre service logistique va immédiatement localiser votre colis. Vous recevrez une mise à jour sous 24h. Cordialement"
